Planes,SatsPerPlane,inclination,MCG,Rejected0,Rejected1,Rejected2,Rejected3,Rejected4
3,5,85.82,112.23077,17,11,4,0,0
3,6,85.82,104.4764,21,15,6,0,0
5,3,55.82,114.83583,60,15,11,3,1
5,4,50.82,90.3161,60,15,12,5,1
5,5,50.82,90.03177,60,15,13,7,1
5,6,50.82,89.95797,60,15,14,9,1
6,3,50.82,64.56945,60,15,15,11,1
6,4,50.82,58.63062,60,15,16,12,2
6,5,50.82,53.62325,60,15,17,13,3
6,6,50.82,50.77155,60,15,18,14,4
